trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.5019994816943087,0.5427023623607834,0.606858310728654,0.49119389071916086,2,1,0.5512538079706246,2,2,2,1,0.5519873291013937,1,1,0
1,1,0.47362815095707456,0.5460632971928981,0.6201114466932515,0.5134286035660623,1,2,0.7857535707084935,2,2,1,2,0.3704142854899146,1,0,0
2,0,0.4557447823290486,0.5275418894289254,0.6197938569301977,0.5462819576602788,2,1,1.5685175145526955,1,2,1,2,0.9866327093673135,2,0,0
3,1,0.4415816562878918,0.5175002294679798,0.624741409359108,0.5121491751008518,2,1,0.4665776983010801,1,1,1,2,0.7659062396987792,2,0,0
4,1,0.4276912408554816,0.5194888723487174,0.5930726279805927,0.4983047586031346,1,2,0.41375542292507816,2,2,2,1,0.39831102986363476,1,1,0
5,0,0.4055921770995845,0.5137705422299683,0.5683724665641992,0.46272801352654014,2,1,0.5073696234107956,2,1,1,2,0.44239474424557557,1,1,0
6,0,0.4060387966965255,0.49337391320021196,0.5426148134492086,0.467087769652416,2,1,0.34357043070667714,1,2,1,2,0.3238175820483775,1,0,0
7,0,0.38329517333089247,0.48017658572717803,0.5642887650243564,0.47060002800761175,2,1,0.7048413602078654,1,2,1,2,0.37324120951916484,1,1,0
8,1,0.34445826041849936,0.5010730986935694,0.5459132769230641,0.4353628710472257,1,2,0.49035797038595774,2,2,2,1,0.27757254614562044,1,1,0
9,1,0.3139119560927619,0.5542313056819463,0.48743523866215543,0.43916063582557135,1,2,0.5999472347762094,2,2,2,1,0.3685056212470954,1,0,0
10,0,0.29024073437232056,0.5239290316623513,0.48653473546448467,0.4582258707433493,2,1,1.0115328840843176,1,2,1,2,1.8271631024986164,1,0,0
11,0,0.276115223235609,0.5663415323120427,0.4678007427909141,0.4830056481269471,1,2,0.49467276505447444,2,1,1,2,1.7927799786766627,2,0,0
12,1,0.26624573571827836,0.5871846204310535,0.4636424547756697,0.4584138156546931,1,2,0.7082065015929402,2,2,1,2,1.2277299362349368,2,1,0
13,0,0.27487596070453996,0.5800016119802494,0.47676690798541116,0.4543877138410899,1,2,0.6416353838517352,2,1,2,1,0.46246575392069644,2,1,0
14,0,0.3134178090415761,0.5828327979212762,0.46675030598864375,0.445180651166839,1,2,0.908134779527245,2,1,1,2,1.3183526986940706,2,0,0
15,1,0.3496823350349426,0.5391320631394332,0.4808645691746157,0.47066895022711086,1,2,1.2150732253317074,1,1,2,1,0.780075875667535,2,1,0
16,1,0.28273293260463195,0.5354743891780129,0.46789688501617754,0.4886737933366655,1,2,1.0445612577686916,1,1,2,1,0.628125615040517,2,0,0
17,0,0.2594480075079688,0.5581378274891853,0.42043242378328993,0.47393622731681884,1,2,0.4605305259497072,1,2,1,2,1.1426728785540945,2,1,0
18,1,0.26183722113225993,0.5755967851789849,0.4344646544256833,0.47700829155122637,2,1,0.9885667298963199,1,1,2,1,0.9588081096649148,2,1,0
19,0,0.25490423310397015,0.5647983695521464,0.4462409459967682,0.47250071744356825,2,1,0.7673452089297825,1,2,1,2,1.633527107680493,1,1,0
20,1,0.25904572231328427,0.5672649496972527,0.4507932230406366,0.5030366005861885,2,1,0.9276911169686173,1,1,2,1,0.7725305694175404,2,1,0
21,1,0.25623442392719475,0.5646738712666779,0.4534681816355196,0.5269596785992172,1,2,1.7276653380781681,1,1,1,2,0.8716069365141266,1,0,0
22,1,0.2572022157561428,0.5540202471714726,0.45371246774451646,0.5533425414808454,1,2,0.565425255102582,1,1,1,2,1.0367780854071498,2,1,0
23,1,0.286430882883848,0.5447866037141056,0.4453382400609851,0.5392030982870983,2,1,0.525329722276183,2,2,1,2,1.0661213455255165,2,1,0
24,0,0.2905396253153951,0.5388283575792787,0.4473482134362991,0.5136957233349508,2,1,0.5840738978768059,1,2,1,2,0.8342073202393294,2,0,0
25,0,0.2793127537349607,0.5585756849185273,0.4037636309383945,0.5386856362461621,2,1,0.6959563968475777,1,2,2,1,0.7354533402076413,1,1,0
26,0,0.27574628928876876,0.5967857042659513,0.396907266560276,0.5156398958012076,1,2,1.00789455890299,1,2,1,2,0.8234553493912244,2,1,0
27,1,0.29847779617617487,0.5875249271770535,0.40351346642324376,0.4773818779514791,1,2,0.8452801688490581,1,1,1,2,1.1354584114646968,2,0,0
28,1,0.31234866178008897,0.6155377387473833,0.426806101326837,0.46265126883747554,1,2,0.5148026375368318,2,2,1,2,0.8128844948728329,2,1,0
29,1,0.2852780176970351,0.6517540070017152,0.42967624372323043,0.4596141491551444,2,1,0.7333433349795087,2,2,1,2,0.6287866896404921,1,1,0
30,1,0.3360709273536649,0.6495608606109422,0.436693824424355,0.4594513691522706,2,1,0.5892716346475027,2,2,1,2,1.007314382930872,2,1,0
31,0,0.3226884365354439,0.6487767174328065,0.4274073214929055,0.47434592409750276,2,1,0.6425171185114777,2,1,2,1,0.903378966598666,2,0,0
32,1,0.2994540018364833,0.6363545000004176,0.4337624429069498,0.4639044553471392,2,1,0.40519163918770573,2,2,2,1,1.1619306759139363,1,0,0
33,1,0.3475936209734885,0.6534692057717331,0.4113944823766138,0.4353140350239215,2,1,0.3945347544122342,2,2,2,1,0.623209514161772,2,0,0
34,1,0.34338719447001687,0.6440533233307941,0.4329413802453973,0.4334159127720911,1,2,0.650259841559091,1,1,2,1,0.7831273839437927,1,0,0
35,0,0.3346569934737693,0.6334291108078363,0.3870488752527783,0.4307347824859975,1,2,0.9515435337243616,2,1,1,2,1.4124921365328191,2,1,0
36,0,0.33169735486026286,0.6327787641058815,0.35538217773577685,0.4611198913678949,2,1,0.47179233926226516,2,1,2,1,0.8845636968012514,1,0,0
37,1,0.2617893081844369,0.653410362174015,0.37903415241005045,0.4871485311987086,2,1,0.5837213247573345,2,2,2,1,1.271202081147294,2,1,0
38,1,0.2679662257283613,0.6327500619999735,0.36822723921968326,0.4989184525371329,2,1,0.5625195454704226,1,1,2,1,0.9005499295458321,1,1,0
39,0,0.2886390208108942,0.6128115743656637,0.37349560032218276,0.46574848648514555,1,2,0.6425089682766156,2,1,1,2,0.8152927383216593,2,1,0
40,0,0.339476774591092,0.591783495906828,0.37759392158070354,0.5151796488365247,2,1,0.701051199171161,2,1,2,1,0.8684920375226284,1,0,0
41,1,0.31082211949104455,0.5925677013046223,0.385457195771414,0.5374246114735367,2,1,0.35966472952713957,2,2,2,1,1.1776856834785576,2,0,0
42,1,0.2709898541311313,0.5756753516751991,0.3937173919307401,0.5862688809147802,1,2,1.1569868038641289,1,1,1,2,1.007332192702961,1,0,0
43,0,0.2965424359074554,0.5559305776048431,0.4137135077818602,0.5718896655908372,1,2,0.6025676861904685,1,2,2,1,0.45267068100929464,1,1,0
44,0,0.29880807526798614,0.5829996011533078,0.4185115501887278,0.5818171683874825,1,2,0.8051840323014403,1,2,2,1,1.2524683136980457,2,0,0
45,1,0.3201442030583517,0.6146163257486397,0.40778462401345394,0.5878189467598218,1,2,0.733182443307669,1,1,2,1,0.6979897294968396,2,0,0
46,0,0.32048402369461493,0.6251552791043519,0.38322455114278164,0.5899758218327739,1,2,0.6398260317291715,2,1,1,2,0.8525716103777086,2,1,0
47,0,0.29271775542479883,0.6317837195245479,0.4390073259587891,0.5684174413198155,1,2,0.4477618247829014,1,2,1,2,0.41513100144038617,1,1,0
48,1,0.28601939711897284,0.6438130203866252,0.450330878206147,0.5400824477416366,1,2,0.5301528501072426,2,2,2,1,0.7935877575018822,1,0,0
49,1,0.26156573307928443,0.664101980191157,0.4384605856764314,0.5430366624102915,2,1,0.36202105296206355,2,2,1,2,0.7827576047729963,1,1,0
